n,titulo,categorias_slugs,categorias_nomes,libras,link_curso,link_thumb,tags
1,"Como criar um MOOC","educacao-a-distancia","Educação a Distância",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?como-criar-mooc","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_ComoCriarMOOC.jpg","addiem;analise;avaliacao;construcao-de-cursos;desenho-didatico;desenvolvimento;design;design-educacional;implementacao;modelo;mooc;processo;producao-de-cursos"
2,"Moodle 4 para Educadores","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-educadores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/08/vitrine_Moodle4_Educadores.png","formacao-de-professores;mediacao;moodle;professor-mediador"
3,"Moodle 4 para Estudantes","educacao-a-distancia;tecnologias-educacionais","Educação a Distância;Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-estudantes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/08/unac-moodle4-estudantes-vitrine.png","aprendizagem;atividades;ava;avea;conteudos;ead;estudantes;moodle;recursos"
4,"Mediação pedagógica no Moodle","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mediacao-pedagogica-no-moodle","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_mediacao_pedagogica.png","ava;avaliacao;ead;feedback;mediacao-pedagogica;mediadores;moodle;professor-mediador;tutores"
5,"Caminhos da Educação Crítica: Integração entre Pedagogia e Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?caminhos-educacao-critica-integracao-pedagogia-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_CaminhosEudcaco.png","caminhos;educacao-ambiental;educacao-critica;pedagogia"
6,"A Química dos produtos de limpeza","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?quimica-produtos-limpeza","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_A-Quimica-dos-produtos-de-limpeza.png","limpeza;produtos-de-limpeza;quimica"
7,"Desafios e Caminhos da Avaliação Matemática Inclusiva","matematica","Matemática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desafios-caminhos-avaliacao-matematica-inclusiva","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_Desafios-e-Caminhos-da-Avaliacao-Matematica-Critica.png","avaliacao;caminhos;desafios;matematica;processo-avaliativo"
8,"Uso de Realidade Aumentada no Ensino de Ciências","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?realidade-aumentada-ciencias","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_uso-de-realidade-aumentada-1.png","ensino-de-ciencias;realidade-aumentada;realidade-virtual;unac"
9,"Fundamentos da Eficiência Energética","engenharia","Engenharia",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?fundamentos-eficiencia-energetica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_fundamentos-da-eficiencia-energetica-1.png","eficiencia;eficiencia-energetica;energia;fundamentos;unac"
10,"Espanhol Comunicativo para Brasileiros","desenvolvimento-educacional-e-social;linguas","Desenvolvimento Educacional e Social;Línguas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?espanhol-comunicativo","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_espanhol-comunicativo-1.png","aprendizagem;comunicacao;conversacao;espanhol;idioma;ingles;lingua-inglesa;unac;vocabulario"
11,"PHP Essencial: Primeiros Passos na Programação Web","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?php-essencial","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_php-essencial-1.png","php;programacao;programacao-web;unac"
12,"Serviços terceirizados no setor público: penalidades e sanções","ciencias-sociais-aplicadas","Ciências Sociais Aplicadas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?servico-terceirizado-setor-publico","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_servicos-tercerizados-no-setor-publico-1.png","contratos;infracoes-contratuais;servicos-tercerizados;setor-publico;tercerizacao;unac"
13,"Modelagem e Análise de Dados: regressão logística com aplicação de R","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?modelagem-analise-dados-com-r","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_modelagem-e-analise-de-dados-1.png","analise-de-dados;estatistica-com-o-r;graficos-estatisticos;informatica;modelagem-de-dados;software;unac"
14,"Saúde e Segurança do Trabalho na Indústria de Rochas Ornamentais","ciencias-exatas-e-da-terra","Ciências Exatas e da Terra",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saude-seguranca-trabalho-rochas-ornamentais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_saude-e-segurancao-do-trabalho-1.png","beneficiamento;gerenciamento-de-riscos;lavra;rochas-ornamentais;saude-no-trabalho;seguranca-no-trabalho;unac"
15,"Intercâmbio Virtual como estratégia de Internacionalização em Casa","desenvolvimento-educacional-e-social","Desenvolvimento Educacional e Social",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?intercambio-virtual-estrategia-internacionalizacao-casa","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_intercambio-virtual-1.png","competencias-interculturais;iah;idc;intercambio-virtual;internacionalizacao-do-curriculo;internacionalizacao-em-casa"
16,"Superdotação na Escola: identificando indícios em adolescentes e adultos","desenvolvimento-educacional-e-social","Desenvolvimento Educacional e Social",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?superdotacao-escola-identificando-indicios","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_superdotacao-na-escola-1.png","acessibilidade;educacao-especial;escolar;inclusao;superdotacao;unac"
17,"Educação como Direito e os fundamentos para a gestão e garantia do acesso","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-direito-fundamentos-garantia-acesso","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_educacao-como-direito-1.png","educacao;gestao;unac"
18,"Educação Ambiental de Base Comunitária","ciencias-humanas","Ciências Humanas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-base-comunitaria","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/XXX-vitrine_Educacao-Ambiental-de-Base-Comunitaria.png","base-comunitaria;educacao-ambiental;mudancas-climaticas;recursos-hidricos"
19,"Saberes para o professor do Século XXI","desenvolvimento-educacional-e-social","Desenvolvimento Educacional e Social",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saberes-professor-seculo-xxi","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/XXX-vitrine_Saberes-para-o-Professor-do-Seculo-XXI.png","educacao-integral;educacao-no-seculo-xxi;pilares-da-educacao"
20,"Operador de Computador","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?operador-de-computador","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/XXX-vitrine_Operador-de-Computador.png","capacitacao;inclusao-digital;informatica;operador-de-computador"
21,"Gestão Escolar e Educação Ambiental: conexões Interdisciplinares","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-escolar-e-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Gestao-Escolar-e-Educacao-Ambiental_-conexoes-Interdisciplinares-1.png","educacao-ambiental;gestao;interdisciplinar;rio-doce-escolar"
22,"Segurança hídrica do Rio Doce pela Perspectiva CTSA","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?seguranca-hidrica-rio-doce-ctsa","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Seguranca-hidrica-do-Rio-Doce-pela-Perspectiva-CTSA-1.png","ctsa;rio-doce-escolar;seguranca;seguranca-hidrica"
23,"Produção de vídeos em ambientes naturais utilizando smartphone","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?producao-videos-ambientes-naturais-smartphone","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Producao-de-videos-em-ambientes-naturais-utilizando-smartphone-1.png","ambientes-naturais;producao-de-videos;rio-doce-escolar;tecnicas-de-gravacao"
24,"Geomorfologia do Rio Piraquê-açu – Da Nascente ao Manguezal","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?geomorfologia-piraqueacu-nascente-maguezal","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Geomorfologia-do-Rio-Piraque-acu-Da-Nascente-ao-Manguezal-1.png","educacao-ambiental;geomorfologia-dos-ambientes-fluviais;manguezal;rio-doce-escolar;rio-piraque-acu"
25,"Guardiões da natureza: Educação Ambiental em espaços educativos não formais na primeira infância","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?guardioes-natureza-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Guardioes-da-natureza_-Educacao-Ambiental-em-espacos-educativos-nao-formais-na-primeira-infancia-1.png","educacao-ambiental;educacao-infantil;espacos-nao-formais;formacao-de-educadores;formacao-de-educadores-ambientais;rio-doce-escolar"
26,"Educação em Saúde Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-saude-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Educacao-em-Saude-Ambiental-1.png","desastres-naturais;educacao-em-saude-ambiental;rio-doce-escolar"
27,"Desvendando a tabela periódica do Rio Doce","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desvendando-tabela-periodica-rio-doce","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Desvendando-a-tabela-periodica-do-Rio-Doce-1.png","ctsa;educacao-ambiental;ensino-de-quimica;rio-doce-escolar;tabela-periodica"
28,"Árvores e Números: Uma abordagem Matemática para a Preservação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?arvore-numero-matematica-preservacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Arvores-e-Numeros_-Uma-abordagem-Matematica-para-a-Preservacao-Ambiental-1.png","educacao-ambiental;educacao-matematica;etica-profissional;formacao-de-educadores;rio-doce-escolar"
29,"Geofísica para o Ensino de Ciências","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?geofisica-ensino-ciencias","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Geofisica-para-o-Ensino-de-Ciencias-1.png","ciencias-naturais;educacao;geociencias;geofisica;rio-doce-escolar"
30,"Biopirataria de Abelhas Nativas: Impactos Socioambientais e Econômicos","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?biopirataria-abelhas-nativas-impactos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Biopirataria-de-Abelhas-Nativas_-Impactos-Socioambientais-e-Economicos-1.png","biopirataria;ensino-de-ciencias;meliponicultura;rio-doce-escolar"
31,"Tecnologia Verde: Robótica Sustentável na Educação","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?tecnologia-verde-robotica-sustentavel-educacao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Tecnologia-Verde_-Robotica-Sustentavel-na-Educacao-1.png","educacao-ambiental;rio-doce-escolar;robotica-sustentavel;tecnologia-verde"
32,"Educação Ambiental em Três Momentos Pedagógicos","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-tres-momentos-pedagogicos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Educacao-Ambiental-em-Tres-Momentos-Pedagogicos-1.png","educacao-ambiental;educadores;metodologia;rio-doce-escolar"
33,"Conservação e Restauração de Nascentes aplicada à Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?conservacao-restauracao-nascentes-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Conservacao-e-Restauracao-de-Nascentes-aplicada-a-Educacao-Ambiental-2.png","educadores-ambientais;praticas-ambientais;rio-doce-escolar;socioambiental"
34,"Literatura em ação com enfoque CTSA","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?literatura-acao-enfoque-ctsa","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Literatura-em-acao-com-enfoque-CTSA.png","ctsa;formacao-de-professores;literaturalizacao;rio-doce-escolar"
35,"A Plastinação como Recurso Didático no Ensino de Ciências e Biologia","ambiente-e-saude;ciencias-da-natureza","Ambiente e Saúde;Ciências da Natureza",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?plastinacao-recurso-didatico-ciencias-biologia","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/194-vitrine_A-Plastinacao-como-Recurso-Didatico-no-Ensino-de-Ciencias-e-Biologia.png","biologia;ensino-de-ciencias;plastinacao;recurso-didatico"
36,"Atendente e Vendedor: Fundamentos do Atendimento e Vendas","desenvolvimento-educacional-e-social","Desenvolvimento Educacional e Social",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?id=646","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/180-vitrine_Atendente-e-Vendedor_-Fundamentos-do-Atendimento-e-Vendas.png","atendimento-ao-cliente;comunicacao-no-comercio;etica-profissional;relacionamento-com-o-cliente;tecnicas-de-vendas"
37,"Atendente e Vendedor: Nível Intermediário","desenvolvimento-educacional-e-social","Desenvolvimento Educacional e Social",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?id=647","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/181-vitrine_Atendente-e-Vendedor_-Nivel-Intermediario.png","atendimento-ao-cliente;comunicacao-no-comercio;etica-profissional;relacionamento-com-o-cliente;tecnicas-de-vendas"
38,"Atendente e Vendedor: Nível Avançado","desenvolvimento-educacional-e-social;desenvolvimento-pessoal","Desenvolvimento Educacional e Social;Desenvolvimento Pessoal",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?atendente-vendedor-avancado","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/204-vitrine_Atendente-e-Vendedor_-Nivel-Avancado.png","atendimento-ao-cliente;comunicacao-no-comercio;etica-profissional;relacionamento-com-o-cliente;tecnicas-de-vendas"
39,"Inglês para Turismo","linguas","Línguas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ingles-para-turismo","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/199-vitrine_Ingles-para-Turismo.png","ingles;lingua-inglesa;linguagem;turismo"
40,"Alfabetização Científica na Prática Pedagógica","ciencias-humanas;educacao","Ciências Humanas;Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?alfabetizacao-cientifica-pratica-pedagogica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/121-vitrine_Alfabetizacao-Cientifica-na-Pratica-Pedagogica.png","alfabetizacao-cientifica;formacao-de-professores;praticas-educativas;praticas-pedagogicas"
41,"Pensamento Computacional com Alfabetização Científica para Comunidade Surda","educacao;educacao-a-distancia;inclusao-e-acessibilidade;linguas;tecnologias-e-informatica","Educação;Educação a Distância;Inclusão e Acessibilidade;Línguas;Tecnologias e Informática",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pensamento-computacional-alfabetizacao-comunidade-surda","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/09/pens-comp-com-surda-vitrine.png","alfabetizacao;alfabetizacao-cientifica;inclusao;libras;pensamento-computacional"
42,"Digipeda – Competências Digitais e Pedagógicas","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?digipeda-competencias-digitais-pedagogicas","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine_MOOC1_embrace_pt.png","competencias;embrace;pedagogia"
43,"Pedagogias ativas com uso de ferramentas digitais","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pedagogias-ativas-ferramentas-digitais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine_MOOC2_embrace_pt.png","digital;embrace;ferramentas;metodologias-ativas;pedagogia"
44,"Competências digitais para o desenvolvimento profissional","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?competencias-digitais-desenvolvimento-profissional","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine_MOOC3_embrace_pt.png","competencias;digital;embrace;profissional"
45,"Gestão de Cursos EaD","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-cursos-ead","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine-gestao-ead.jpg","ead;gestao"
46,"Gestão de Finanças Pessoais","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-financas-pessoais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine-gestao-de-financas.jpg","contabilidade;dinheiro;financas;gestao"
47,"Explorando Estilos de Aprendizagem","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?explorando-estilos-aprendizagem","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine-explorand-estilos-de-aprendizagem.jpg","aprendizagem;estrategias-de-aprendizagem;professor"
48,"Introdução a Educação Comparada e Internacional","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-comparada-internacional","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine-introducao-educacao-comparada.jpg","comparada;educacao;internacional;introducao"
49,"Node.js para iniciantes","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?node-js-iniciantes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/05/vitrine-nodejs-para-iniciantes.jpg","codigo-2;javascript;node;nodejs;programacao;servidor"
50,"Trilhas Científicas: Produtos Educacionais na Educação Ambiental","ambiente-e-saude;desenvolvimento-educacional-e-social","Ambiente e Saúde;Desenvolvimento Educacional e Social",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?trilhas-cientificas-produtos-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/12/163-vitrine_Trilhas-Pedagogicas-Produtos-Educacionais-na-Educacao-Ambiental.png","educacao-ambiental;ensino-de-ciencias;produtos-educacionais;recursos-didaticos"
51,"Planejamento e Produção de Eventos Escolares, Culturais e Acadêmicos","producao-cultural-e-design","Produção Cultural e Design",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?planejamento-producao-eventos-escolares","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/12/187-vitrine_Planejamento-e-Producao-de-Eventos-Escolares-Culturais-e-Academicos.png","eventos-academicos;eventos-culturais;eventos-escolares;planejamento;producao;producao-de-eventos;unac"
52,"Matemática da Informática","desenvolvimento-educacional-e-social;educacao","Desenvolvimento Educacional e Social;Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?matematica-da-informatica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/12/190-vitrine_Matematica-da-Informatica.png","informatica;internet;logica;matematica;sistemas;tecnologia"
