n,titulo,categorias_slugs,categorias_nomes,libras,link_curso,link_thumb,tags
110,"Estatística com o R","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estatistica-com-r","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Estatistica_R.jpg","estatistica-com-o-r;graficos-estatisticos;informatica;software;unac"
111,"Introdução à Metodologia da Pesquisa","educacao","Educação",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-metodologia-pesquisa","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Intro_Met_Pesquisa.jpg","aprendizagem;metodologia-da-pesquisa;pesquisa;tcc;trabalho-academico;unac"
112,"Educação para as relações étnico-raciais","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-para-relacoes-etnico-raciais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/xvitrine_EducEtnicoRacial.png.pagespeed.ic_.Br3WgHAF_x.webp","aprendizagem;educadores;praticas-pedagogicas;relacoes-etnico-raciais"
113,"Introdução à Produção de Audiolivros","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-producao-audiolivros","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_introducao_audiolivro.png","acessibilidade;audio;audiobooks;audiolivros;conectivismo;inclusao;podcasts;recurso-didatico;videos"
114,"Noções de Prevenção e Combate a Incêndios","engenharia","Engenharia",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?nocoes-prevencao-combate-incendios","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_incendio.png","combate;extincao;extintores;fogo;incendio;prevencao"
115,"Gestão Acadêmica de Cursos de Graduação","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-academica-cursos-graduacao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_GestaoAcademicaCursosGraduacao.jpg","gestao;graduacao;pedagogia;planejamento-pedagogico;registro-academico"
116,"Introdução à Libras","inclusao-e-acessibilidade;linguas","Inclusão e Acessibilidade;Línguas",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-libras","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Vitrine_MOOC_Introducao_Libras.png","acessibilidade;gramatica;inclusao;libras;lingua;linguagem;sinais"
117,"Introdução à Educação de Surdos","educacao;linguas","Educação;Línguas",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-surdos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Vitrine_MOOC_Educacao_Surdos.png","acessibilidade;cultura;educacao;inclusao;linguagem;professor;sala-de-aula;surdez"
118,"Mooc de Lovelace : Arte e Game Design","design;educacao","Design;Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-arte-game-design","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/xvitrine_Lovelace_Arte_Game_Design.png.pagespeed.ic_.Y1J52ZCFGU.webp","aprendizagem;arte-2d;corte-de-lovelace;design;games;lovelace"
119,"Mooc de Lovelace: Robótica Educacional","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-robotica-educacional","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_RoboticaEducacional.png","computacao;corte-de-lovelace;educacao;eletricidade;lovelace;mecanica;mulheres;programacao;robotica"
120,"MOOC de Lovelace: Programação Python e C","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-programacao-python-c","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MoocLovelace_ProgramacaoPython.png","corte-de-lovelace;empressoes-aritimeticas;expressoes-logicas;lovelace;programacao;python"
121,"Mooc de Lovelace: Pensamento Computacional com Scratch","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-pensamento-computacional-scratch","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_Mooc_Lovelace_PensCompScratch.png","algoritimo;computacao;corte-de-lovelace;decomposicoes;lovelace;padroes;pensamento-computacional;programacao;scratch"
122,"MOOC de Lovelace: Pensamento Computacional","tecnologias-e-informatica","Tecnologias e Informática",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-pensamento-computacional","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MoocLovelace_pensamentoComputacional.png","abstracao;algoritimo;corte-de-lovelace;decomposicao;lovelace;padroes;pensamento-computacional"
123,"Mooc de Lovelace: Pensamento Computacional no Cotidiano Feminino","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lovelace-pensamento-computacional-cotidiano-feminino","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MoocLovelace_pccf.png","abstracao;algoritimo;corte-de-lovelace;decomposicao;lovelace;padroes;pensamento-computacional"
124,"Educador Maker: Primeiros Passos","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-primeiros-passos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/1_Vitrine_Educador_Maker_PP_primeiro_curso.png","aprendizagem;educador;maker;praticas-educativas"
125,"Educador Maker: Aprendizagem Baseada em Projetos","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-aprendizagem-baseada-projetos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_EducadorMaker_Projetos.png","abp;aprendizagem;cultura-maker;maker;projetos"
126,"Educador Maker: ensino ‘mão na massa’","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-ensino-mao-massa","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_EducadorMaker_EnsinoMaonaMassa.png","aprendizagem;cultura-maker;educador;formacao-de-professores;maker"
127,"Educador Maker: Alfabetização Científica inspirada em Leonardo Da Vinci","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-alfabetizacao-cientifica-inspirada","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/xvitrine_EMaker_DaVinci.png.pagespeed.ic_.NQXNH2a2yG.webp","alfabetizacao;alfabetizacao-cientifica;aprendizagem;cultura-maker;educadores;leonardo-da-vinci;metodologias-ativas"
128,"Inglês Comunicativo – Aprenda o Básico Essencial","linguas","Línguas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ingles-comunicativo-basico-essencial","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/ingles-comunicativo.png","aprendizagem;conversacao;ingles;lingua-inglesa;vocabulario"
129,"Desenvolvendo competências em informações acadêmicas e profissionais.","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desenvolvendo-competencias-informacoes-academicas-profissionais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/VITRINE_DesenvCompetencias-3.png","competencias;critica;direitos-autorais;estrategias-de-busca;habilidades;informacoes;leitura;plagio"
130,"PROGRAMAKIDS: Apresentando a Programação para as Crianças","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?programakids-apresentando-programacao-para-criancas","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_Programakids.jpg","brincadeiras;criancas;kids;ludico;programacao;raciocinio-logico"
131,"Educação Ambiental em foco: discussões e práticas","ciencias-da-natureza;educacao","Ciências da Natureza;Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-foco-discussoes-praticas","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/EducAmbientalEmFoco_vitrine.jpg","direito-ambiental;ea;educacao-ambiental;legislacao-ambiental"
132,"MOOC de Mary Keller: Robótica para Educadores","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-mary-keller-robotica-educadores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Mooc_de_MaryKeller_Vitrine_MOOC.gif","bncc;computacao;educadores;eletronica;mecanica;metodologias-ativas;pensamento-computacional;robotica"
133,"Desmistificando o Cubo mágico","matematica","Matemática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desmistificando-cubo-magico","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/DesmistificandoCuboMagico_VITRINE.png","algoritimo;cubo-magico;matematica;raciocinio-logico"
134,"Estratégias Flexíveis em Tempos de Pandemia","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estrategias-flexiveis-ensino-tempos-pandemia","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_EstrFlexEnsinoPandemia.png","ensino;ensino-hibrido;pandemia;praticas-pedagogicas"
135,"Ensino de astronomia: Reconhecimento do Céu noturno","ciencias-da-natureza;educacao","Ciências da Natureza;Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ensino-astronomia-reconhecimento-ceu-noturno","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_EnsinoAstronomia.png","aprendizagem;astronomia;astros;constelacoes;constelario;ensino;estrelas;sistema-solar;stellarium"
136,"Práticas Educativas em Saneamento Básico","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?praticas-educativas-saneamento-basico","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_PraticasEducativasSaneamentoBasico.png","ciencias;cts;ctsa;praticas-educativas;saneamento-basico;saude"
137,"Química para Iniciantes","ciencias-da-natureza","Ciências da Natureza",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?quimica-para-iniciantes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_QuimicaIniciantes.png","ciencias;ensino-medio;funcoes-inorganicas;ligacoes;quimica;tabela-periodica"
138,"Compreendendo a Educação Profissional Técnica Integrada ao Ensino Médio: textos e contextos","educacao","Educação",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?compreendo-educacao-profissional-tecnologica-integrada","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_CompreendendoEPT.png","educacao-profissional;educacao-tecnologica;ensino-medio;formacao;formacao-continuada;libras;tecnica"
139,"Avaliação por Rubrica no Moodle","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?avaliacao-rubrica-moodle","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Avaliacao-por-rubrica-no-moodle.png","aprendizagem;avaliacao;feedback;mediacao;moodle;processo-avaliativo;professores;rubrica"
140,"Acessibilidade em Processos Seletivos Discentes￼￼￼","inclusao-e-acessibilidade","Inclusão e Acessibilidade",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?acessibilidade-processos-seletivos-discentes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_AcessibilidadeProcessoSeletivoDiscente.png","acessibilidade;discentes;formacao;pessoa-com-deficiencia;processo-seletivo"
141,"Metodologias Ativas: Educação Inovadora","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?metodologias-ativas-educacao-inovadora","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MetAtivasEducInovadora.png","abp;aprendizagem;educacao-inovadora;ensino-hibrido;gamificacao;inovacao;jogos;metodologias-ativas"
142,"Gestão da Liderança para Melhores Resultados","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-lideranca-para-melhores-resultados","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_GestaoLiderancaResultados.png","gestao;gestores;inteligencia-emocional;lideranca;resultados"
143,"Vacinas: O que é preciso saber?","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?vacinas-preciso-saber","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_Vacinas.png","ciencia;covid19;pandemia;saude;tecnologia;vacinas"
144,"Ferramentas Digitais para Curadoria Educacional","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ferramentas-digitais-para-curadoria-educacional","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_FerramentasDigCuradoriaEduc.png","curadoria-educacional;elink-io;ferramentas-digitais;padlet;pinterest;pocket;porvir"
145,"Introdução à gestão da inovação","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-gestao-inovacao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Introducao-a-gestao-da-inovacao.png","empresas;enegia;gestao;inovacao;meio-ambiente;sustentabilidade"
146,"Como desenvolver bons hábitos de estudo?","desenvolvimento-pessoal","Desenvolvimento Pessoal",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?como-desenvolver-bons-habitos-estudo","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_ComoDesenvolverEstudos.png","autorregulacao-da-aprendizagem;concurso;estrategias-de-aprendizagem;estudos;gerenciamento-de-recurso;gerenciamento-de-tempo;habitos;vestibular"
147,"Inclusão Sociodigital para Multiplicadores","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?inclusao-sociodigital-para-multiplicadores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Inclusao-Sociodigital-para-multiplicadores.jpg","aplicativos;backup;contatos;e-mail;fotos;inclusao;multiplicadores;redes-sociais;smartphones;sociodigital"
148,"Gamificação no Moodle","educacao-a-distancia;tecnologias-educacionais","Educação a Distância;Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gamificacao-moodle","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_GamificacaonoMoodle.png","ava;games;gamificacao;jogos;moodle"
149,"Acessibilidade e Tecnologia","inclusao-e-acessibilidade","Inclusão e Acessibilidade",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?acessibilidade-tecnologia","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Acessibilidade_Tecnologia_Vitrine.jpg","acessibilidade;inclusao;materiais-digitais;tecnologia;tecnologia-assistiva"
150,"Ferramenta para gravação de videoaulas","tecnologias-educacionais","Tecnologias Educacionais",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ferramenta-para-gravacao-videoaulas","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_FerramentaGravacaoVideo.jpg","audiovisual;aulas;obs;open-broadcaster-software;software;videoaulas"
151,"Diversidade Cultural, Economia Criativa e Desenvolvimento","artes-e-humanidades","Artes e Humanidades",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?curso-livre-sobre-diversidade-cultural","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Miniatura_Diversidade_Cultural_EC_D.png","coletivos;cultura;desenvolvimento;diversidade-cultural;economia-2"
152,"Introdução a projetos","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-projetos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Vitrine_Introducao-a-Projetos.png","gestao;pmi;processos;projetos"
153,"Criando ambientes virtuais com Unity 3D","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?criando-ambientes-virtuais-unity","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Criando_Amb_Virtuais_Unity3D_Vitrine.png","3d;laboratorio-virtual;modelagem;programacao;quimica;unity"
154,"Introdução ao Google Classroom","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-google-classroom","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Google-Classroom_Vitrine.jpg","ambientes-virtuais;atividades;ava;google;google-classroom;recursos-digitais;sala-de-aula"
155,"Utilizando o Google Arts &#038; Culture em Sala de Aula","artes-e-humanidades;educacao-a-distancia;tecnologias-educacionais","Artes e Humanidades;Educação a Distância;Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?utilizando-google-arts-culture-aula","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Vitrine_Curso_GoogleArts_Culture.png","abp;arte;ciencias;formacao-de-professores;google;google-arts-e-culture;historia;sala-de-aula"
156,"Google Drive: Colaboração na prática","educacao-a-distancia;tecnologias-educacionais","Educação a Distância;Tecnologias Educacionais",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?google-drive-colaboracao-pratica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/mooc_drive_colab.png","colaboracao;google;google-apresentacoes;google-documentos;google-drive"
157,"Catalogação de softwares educacionais para o ensino de Matemática","matematica;tecnologias-educacionais","Matemática;Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?catalogacao-softwares-educacionais-ensino-matematica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Softwares_Educacionais_Vitrine.png","curadoria;matematica;repositorio;software;softwares-educacionais"
158,"Programação Básica: Scratch","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?programacao-basica-scratch","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_ProgramacaoBasica_Scratch.png","computacao;pensamento-computacional;programacao;scratch"
159,"Realidade Virtual como apoio ao ensino","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?realidade-virtual-como-apoio-ensino","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Realidade_Virtual_Vitrine.png","jogos-digitais;realidade-virtual;sala-de-aula;tecnologia"
160,"Uso Educacional do Canva","design;tecnologias-educacionais","Design;Tecnologias Educacionais",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?uso-educacional-canva","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Uso_Educacional_Canva_Vitrine.png","canva;design;formacao-de-professores;recursos-educacionais"
161,"Protagonismo feminino na política: oratória e marketing pessoal","artes-e-humanidades;desenvolvimento-pessoal;gestao","Artes e Humanidades;Desenvolvimento Pessoal;Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?maratona-mulheres-politica-oratoria-marketing","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_Mulheres_ProtagonismoFeminino.png","carreira-politica;empoderamento;imagem-publica;marketing-pessoal;mulheres;oratoria;politica"
162,"Habilidades humanas e técnicas necessárias na carreira política","artes-e-humanidades;desenvolvimento-pessoal","Artes e Humanidades;Desenvolvimento Pessoal",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?maratona-mulheres-politica-habilidades-humanas","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_Mulheres_HabilidadesHumanas.png","cargos;carreira-politica;eleicoes-2;empoderamento;lutas;mulheres;politica"
163,"Lesson Study – versão Português","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lesson-study-versao-portugues","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Lesson_Study_1_V_Portugues_Vitrine.png","classroom;collaboration;execution;japanese;lesson-study;planning;reflection;study-method"
164,"Lesson Study – English version","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lesson-study-english-version","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Lesson_Study_1_V_Ingles_Vitrine.png","colaboracao;execucao;japones;lesson-study;metodo-de-estudo;planejamento;reflexao;sala-de-aula"
165,"Por que Lesson Stydy?","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?id=390","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Lesson_Study_2_Por_que_Vitrine.png","aulas;execucao;formacao-de-professores;japoneses;lesson-study;planejamento;reflexao"
